epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,555.721,0.47917,1.25112,0.93968,0.97739,1,0.9934,0.85034,0.62793,1.2825,1.08699,0.000663043,0.000663043,0.000663043
2,1053.94,0.50985,0.90267,0.93944,0.96069,0.99756,0.99381,0.89674,0.52408,1.14808,0.99303,0.00131655,0.00131655,0.00131655
3,1497.11,0.50486,0.73849,0.92977,0.93372,0.97959,0.98107,0.82869,0.55422,1.24472,1.01575,0.00195685,0.00195685,0.00195685
4,1940.6,0.48364,0.64655,0.92014,1,0.99779,0.995,0.90056,0.5115,0.60695,0.97875,0.0019406,0.0019406,0.0019406
5,2403.64,0.46692,0.53743,0.91222,1,0.99297,0.995,0.90862,0.5216,0.51169,0.97618,0.0019208,0.0019208,0.0019208
6,2821.09,0.44893,0.49681,0.91342,0.99718,1,0.995,0.93301,0.45053,0.42793,0.96006,0.001901,0.001901,0.001901
7,3193.69,0.40535,0.43587,0.90302,0.99877,1,0.995,0.92936,0.43532,0.37153,0.92402,0.0018812,0.0018812,0.0018812
8,3582.53,0.38933,0.39903,0.88697,0.97562,1,0.9942,0.94565,0.39275,0.40822,0.89685,0.0018614,0.0018614,0.0018614
9,3955.44,0.38029,0.38083,0.88307,0.97676,1,0.9946,0.94584,0.41594,0.36325,0.95312,0.0018416,0.0018416,0.0018416
10,4319.35,0.36004,0.36286,0.88359,0.99837,1,0.995,0.95264,0.38801,0.30315,0.91866,0.0018218,0.0018218,0.0018218
11,4690.35,0.35626,0.36161,0.88158,0.9933,1,0.995,0.94962,0.40303,0.30652,0.9097,0.001802,0.001802,0.001802
12,5055.9,0.36559,0.36877,0.8909,0.9977,1,0.995,0.9491,0.36888,0.26806,0.91388,0.0017822,0.0017822,0.0017822
13,5425.11,0.35631,0.35428,0.87548,0.99804,1,0.995,0.95294,0.38074,0.31498,0.91614,0.0017624,0.0017624,0.0017624
14,5789.46,0.34409,0.33501,0.88261,0.99864,1,0.995,0.95248,0.39443,0.30228,0.93769,0.0017426,0.0017426,0.0017426
15,6161.36,0.34709,0.32777,0.87585,0.99875,1,0.995,0.95396,0.36225,0.275,0.89233,0.0017228,0.0017228,0.0017228
16,6534.28,0.31846,0.31877,0.8648,0.99814,1,0.995,0.96203,0.3597,0.2983,0.90148,0.001703,0.001703,0.001703
17,6906.71,0.3292,0.32686,0.87492,0.99867,1,0.995,0.96171,0.37912,0.26119,0.92339,0.0016832,0.0016832,0.0016832
18,7295.21,0.324,0.30892,0.87092,0.99868,1,0.995,0.94628,0.3894,0.25834,0.88858,0.0016634,0.0016634,0.0016634
19,7673.54,0.31745,0.29721,0.87015,0.98508,1,0.995,0.97175,0.36994,0.24642,0.91222,0.0016436,0.0016436,0.0016436
20,8056.37,0.3014,0.2898,0.86666,0.98495,1,0.995,0.9593,0.37514,0.29462,0.91725,0.0016238,0.0016238,0.0016238
21,8445.72,0.31192,0.31928,0.87132,0.9809,0.97959,0.99422,0.98067,0.38665,0.28001,0.91333,0.001604,0.001604,0.001604
22,8840.01,0.325,0.30108,0.8752,0.99787,1,0.995,0.96505,0.36098,0.26243,0.89804,0.0015842,0.0015842,0.0015842
23,9209.7,0.30774,0.29136,0.86227,0.99842,1,0.995,0.96744,0.35468,0.23577,0.90054,0.0015644,0.0015644,0.0015644
24,9581.04,0.29908,0.29255,0.87191,0.99892,1,0.995,0.97804,0.34935,0.25565,0.88331,0.0015446,0.0015446,0.0015446
25,9966.33,0.29284,0.27608,0.86139,0.99867,1,0.995,0.97634,0.31656,0.23751,0.87982,0.0015248,0.0015248,0.0015248
26,10349.9,0.28651,0.28594,0.86268,0.99892,1,0.995,0.97347,0.33651,0.23193,0.89348,0.001505,0.001505,0.001505
27,10740.3,0.28378,0.27969,0.86066,0.99884,1,0.995,0.97272,0.34963,0.23068,0.87844,0.0014852,0.0014852,0.0014852
28,11130.9,0.279,0.26394,0.86175,0.99737,1,0.995,0.97142,0.36076,0.24468,0.90808,0.0014654,0.0014654,0.0014654
29,11503.9,0.27928,0.2714,0.86182,0.99733,1,0.995,0.97877,0.28379,0.21225,0.84839,0.0014456,0.0014456,0.0014456
30,11879.5,0.28301,0.27259,0.85838,0.99779,1,0.995,0.97736,0.33434,0.22324,0.88678,0.0014258,0.0014258,0.0014258
31,12254.3,0.27553,0.26245,0.85134,0.99708,1,0.995,0.98003,0.29735,0.2381,0.85211,0.001406,0.001406,0.001406
32,12624.3,0.26601,0.26143,0.85915,0.99762,1,0.995,0.97022,0.32153,0.20766,0.87857,0.0013862,0.0013862,0.0013862
33,13001.6,0.26471,0.26218,0.85598,1,0.99819,0.995,0.98046,0.28607,0.21658,0.8488,0.0013664,0.0013664,0.0013664
34,13374.6,0.25998,0.25694,0.85772,0.99792,1,0.995,0.97807,0.28511,0.22692,0.85538,0.0013466,0.0013466,0.0013466
35,13747.8,0.2683,0.25345,0.8573,0.98958,1,0.995,0.98307,0.24308,0.19761,0.83812,0.0013268,0.0013268,0.0013268
36,14128.1,0.24579,0.24068,0.85538,0.99844,1,0.995,0.97794,0.30286,0.20907,0.87565,0.001307,0.001307,0.001307
37,14525,0.26287,0.2521,0.84613,0.99838,1,0.995,0.98138,0.27491,0.19514,0.85459,0.0012872,0.0012872,0.0012872
38,14903.1,0.24752,0.23067,0.85086,0.97602,1,0.995,0.976,0.28379,0.20737,0.85228,0.0012674,0.0012674,0.0012674
